!Table,!Type,!Length,!Name,!Description,!FK,!Required,File,boolean,binary,datetime,id,integer,float,links,ref,string,table,Length,Name,Description,RefDef,Required
Project,table,,Project,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,table,rg:None,Project,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Project,id,,id,Primary Key,,Y,Defs,rg:None,rg:None,rg:None,id,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,id,Primary Key,rg:None,rg:[ { 'req' : 'id'} ]
Project,ref,,serviceArea,,ServiceArea,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,ref,rg:None,rg:None,rg:None,serviceArea,rg:None,ServiceArea,rg:[ { 'req' : 'id'} ]
Project,string,,projectNum,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,string,rg:None,rg:None,projectNum,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Project,string,,jobDesc1,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,string,rg:None,rg:None,jobDesc1,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Project,string,,jobDesc2,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,string,rg:None,rg:None,jobDesc2,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Project,links,,requests,,Request,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,links,rg:None,rg:None,rg:None,rg:None,requests,rg:None,Request,rg:[ { 'req' : 'id'} ]
Project,ref,,primaryContact,Link to the designated Primary Contact.,Contact,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,ref,rg:None,rg:None,rg:None,primaryContact,Link to the designated Primary Contact.,Contact,rg:[ { 'req' : 'id'} ]
Project,links,,contacts,,Contact,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,links,rg:None,rg:None,rg:None,rg:None,contacts,rg:None,Contact,rg:[ { 'req' : 'id'} ]
Project,links,,notes,,Note,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,links,rg:None,rg:None,rg:None,rg:None,notes,rg:None,Note,rg:[ { 'req' : 'id'} ]
Project,links,,attachments,,Attachment,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,links,rg:None,rg:None,rg:None,rg:None,attachments,rg:None,Attachment,rg:[ { 'req' : 'id'} ]
Project,links,,history,,History,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,links,rg:None,rg:None,rg:None,rg:None,history,rg:None,History,rg:[ { 'req' : 'id'} ]
Request,table,,Request,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,table,rg:None,Request,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Request,id,,id,Primary Key,,Y,Defs,rg:None,rg:None,rg:None,id,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,id,Primary Key,rg:None,rg:[ { 'req' : 'id'} ]
Request,ref,,project,,Project,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,ref,rg:None,rg:None,rg:None,project,rg:None,Project,rg:[ { 'req' : 'id'} ]
Request,ref,,localArea,,LocalArea,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,ref,rg:None,rg:None,rg:None,localArea,rg:None,LocalArea,rg:[ { 'req' : 'id'} ]
Request,ref,,equipmentType,,EquipmentType,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,ref,rg:None,rg:None,rg:None,equipmentType,rg:None,EquipmentType,rg:[ { 'req' : 'id'} ]
Request,integer,,equipmentCount,,,,Defs,rg:None,rg:None,rg:None,rg:None,integer,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,equipmentCount,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Request,integer,,expectedHours,,,,Defs,rg:None,rg:None,rg:None,rg:None,integer,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,expectedHours,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Request,datetime,,expectedStartDate,,,,Defs,rg:None,rg:None,datetime,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,expectedStartDate,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Request,datetime,,expectedEndDate,,,,Defs,rg:None,rg:None,datetime,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,expectedEndDate,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Request,ref,,rotationList,,RotationList,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,ref,rg:None,rg:None,rg:None,rotationList,rg:None,RotationList,rg:[ { 'req' : 'id'} ]
Request,links,,hireOffers,,HireOffer,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,links,rg:None,rg:None,rg:None,rg:None,hireOffers,rg:None,HireOffer,rg:[ { 'req' : 'id'} ]
Request,links,,notes,,Note,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,links,rg:None,rg:None,rg:None,rg:None,notes,rg:None,Note,rg:[ { 'req' : 'id'} ]
Request,links,,attachments,,Attachment,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,links,rg:None,rg:None,rg:None,rg:None,attachments,rg:None,Attachment,rg:[ { 'req' : 'id'} ]
Request,links,,history,,History,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,links,rg:None,rg:None,rg:None,rg:None,history,rg:None,History,rg:[ { 'req' : 'id'} ]
RotationList,table,,RotationList,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,table,rg:None,RotationList,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
RotationList,id,,id,Primary Key,,Y,Defs,rg:None,rg:None,rg:None,id,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,id,Primary Key,rg:None,rg:[ { 'req' : 'id'} ]
RotationList,ref,,localArea,,LocalArea,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,ref,rg:None,rg:None,rg:None,localArea,rg:None,LocalArea,rg:[ { 'req' : 'id'} ]
RotationList,ref,,equipmentType,,EquipmentType,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,ref,rg:None,rg:None,rg:None,equipmentType,rg:None,EquipmentType,rg:[ { 'req' : 'id'} ]
RotationList,links,,blocks,,RotationListBlock,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,links,rg:None,rg:None,rg:None,rg:None,blocks,rg:None,RotationListBlock,rg:[ { 'req' : 'id'} ]
RotationListBlock,table,,RotationListBlock,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,table,rg:None,RotationListBlock,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
RotationListBlock,id,,id,Primary Key,,Y,Defs,rg:None,rg:None,rg:None,id,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,id,Primary Key,rg:None,rg:[ { 'req' : 'id'} ]
RotationListBlock,ref,,rotationList,,RotationList,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,ref,rg:None,rg:None,rg:None,rotationList,rg:None,RotationList,rg:[ { 'req' : 'id'} ]
RotationListBlock,integer,,blockNum,"The block number. 1 for Primary, 2 for Secondary, 3 for Open",,,Defs,rg:None,rg:None,rg:None,rg:None,integer,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,blockNum,"The block number. 1 for Primary, 2 for Secondary, 3 for Open",rg:None,rg:[ { 'req' : 'id'} ]
RotationListBlock,float,,cycleNum,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,float,rg:None,rg:None,rg:None,rg:None,rg:None,cycleNum,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
RotationListBlock,float,,maxCycle,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,float,rg:None,rg:None,rg:None,rg:None,rg:None,maxCycle,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
RotationListBlock,ref,,lastHiredEquipment,,Equipment,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,ref,rg:None,rg:None,rg:None,lastHiredEquipment,rg:None,Equipment,rg:[ { 'req' : 'id'} ]
RotationListBlock,ref,,startCycleEquipment,,Equipment,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,ref,rg:None,rg:None,rg:None,startCycleEquipment,rg:None,Equipment,rg:[ { 'req' : 'id'} ]
RotationListBlock,string,,moved,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,string,rg:None,rg:None,moved,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
RotationListBlock,string,,startWasZero,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,string,rg:None,rg:None,startWasZero,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
RotationListBlock,integer,,rotatedBlock,,,,Defs,rg:None,rg:None,rg:None,rg:None,integer,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rotatedBlock,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
RotationListBlock,string,,blockName,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,string,rg:None,rg:None,blockName,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
RotationListBlock,string,,closed,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,string,rg:None,rg:None,closed,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
RotationListBlock,string,,closedComments,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,string,rg:None,rg:None,closedComments,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
RotationListBlock,datetime,,closedDate,,,,Defs,rg:None,rg:None,datetime,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,closedDate,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
RotationListBlock,string,,closedBy,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,string,rg:None,rg:None,closedBy,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
RotationListBlock,datetime,,reservedDate,,,,Defs,rg:None,rg:None,datetime,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,reservedDate,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
RotationListBlock,string,,reservedBy,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,string,rg:None,rg:None,reservedBy,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
HireOffer,table,,HireOffer,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,table,rg:None,HireOffer,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
HireOffer,id,,id,Primary Key,,Y,Defs,rg:None,rg:None,rg:None,id,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,id,Primary Key,rg:None,rg:[ { 'req' : 'id'} ]
HireOffer,ref,,request,,Request,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,ref,rg:None,rg:None,rg:None,request,rg:None,Request,rg:[ { 'req' : 'id'} ]
HireOffer,ref,,equipment,,Equipment,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,ref,rg:None,rg:None,rg:None,equipment,rg:None,Equipment,rg:[ { 'req' : 'id'} ]
HireOffer,ref,,rentalAgreement,The rental agreement created for this hire offer. Available only if status code is Yes,RentalAgreement,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,ref,rg:None,rg:None,rg:None,rentalAgreement,The rental agreement created for this hire offer. Available only if status code is Yes,RentalAgreement,rg:[ { 'req' : 'id'} ]
HireOffer,boolean,,isForceHire,,,,Defs,boolean,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,isForceHire,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
HireOffer,boolean,,asked,,,,Defs,boolean,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,asked,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
HireOffer,datetime,,askedDate,,,,Defs,rg:None,rg:None,datetime,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,askedDate,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
HireOffer,boolean,,acceptedOffer,The response about the equipment. Either a No (move to next on the list) or Yes (move to on to the Rental Agreement),,,Defs,boolean,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,acceptedOffer,The response about the equipment. Either a No (move to next on the list) or Yes (move to on to the Rental Agreement),rg:None,rg:[ { 'req' : 'id'} ]
HireOffer,string,,refuseReason,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,string,rg:None,rg:None,refuseReason,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
HireOffer,string,,note,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,string,rg:None,rg:None,note,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
HireOffer,boolean,,equipmentVerifiedActive,,,,Defs,boolean,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,equipmentVerifiedActive,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
HireOffer,boolean,,flagEquipmentUpdate,,,,Defs,boolean,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,flagEquipmentUpdate,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
HireOffer,string,,equipmentUpdateReason,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,string,rg:None,rg:None,equipmentUpdateReason,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
RentalAgreement,table,,RentalAgreement,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,table,rg:None,RentalAgreement,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
RentalAgreement,id,,id,Primary Key,,Y,Defs,rg:None,rg:None,rg:None,id,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,id,Primary Key,rg:None,rg:[ { 'req' : 'id'} ]
RentalAgreement,ref,,equipment,,Equipment,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,ref,rg:None,rg:None,rg:None,equipment,rg:None,Equipment,rg:[ { 'req' : 'id'} ]
RentalAgreement,ref,,project,,Project,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,ref,rg:None,rg:None,rg:None,project,rg:None,Project,rg:[ { 'req' : 'id'} ]
RentalAgreement,links,,timeRecords,,TimeRecord,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,links,rg:None,rg:None,rg:None,rg:None,timeRecords,rg:None,TimeRecord,rg:[ { 'req' : 'id'} ]
TimeRecord,table,,TimeRecord,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,table,rg:None,TimeRecord,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
TimeRecord,id,,id,Primary Key,,Y,Defs,rg:None,rg:None,rg:None,id,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,id,Primary Key,rg:None,rg:[ { 'req' : 'id'} ]
TimeRecord,ref,,rentalAgreement,,RentalAgreement,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,ref,rg:None,rg:None,rg:None,rentalAgreement,rg:None,RentalAgreement,rg:[ { 'req' : 'id'} ]
TimeRecord,datetime,,workedDate,,,,Defs,rg:None,rg:None,datetime,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,workedDate,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
TimeRecord,datetime,,enteredDate,,,,Defs,rg:None,rg:None,datetime,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,enteredDate,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
TimeRecord,float,,hours,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,float,rg:None,rg:None,rg:None,rg:None,rg:None,hours,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
TimeRecord,float,,rate,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,float,rg:None,rg:None,rg:None,rg:None,rg:None,rate,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
TimeRecord,float,,hours2,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,float,rg:None,rg:None,rg:None,rg:None,rg:None,hours2,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
TimeRecord,float,,rate2,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,float,rg:None,rg:None,rg:None,rg:None,rg:None,rate2,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
TimeRecord,float,,hours3,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,float,rg:None,rg:None,rg:None,rg:None,rg:None,hours3,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
TimeRecord,float,,rate3,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,float,rg:None,rg:None,rg:None,rg:None,rg:None,rate3,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Equipment,table,,Equipment,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,table,rg:None,Equipment,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Equipment,id,,id,Primary Key,,Y,Defs,rg:None,rg:None,rg:None,id,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,id,Primary Key,rg:None,rg:[ { 'req' : 'id'} ]
Equipment,ref,,localArea,,LocalArea,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,ref,rg:None,rg:None,rg:None,localArea,rg:None,LocalArea,rg:[ { 'req' : 'id'} ]
Equipment,ref,,equipmentType,,EquipmentType,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,ref,rg:None,rg:None,rg:None,equipmentType,rg:None,EquipmentType,rg:[ { 'req' : 'id'} ]
Equipment,ref,,dumpTruckDetails,,DumpTruck,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,ref,rg:None,rg:None,rg:None,dumpTruckDetails,rg:None,DumpTruck,rg:[ { 'req' : 'id'} ]
Equipment,ref,,owner,,Owner,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,ref,rg:None,rg:None,rg:None,owner,rg:None,Owner,rg:[ { 'req' : 'id'} ]
Equipment,string,,equipCd,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,string,rg:None,rg:None,equipCd,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Equipment,string,,approval,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,string,rg:None,rg:None,approval,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Equipment,datetime,,approvedDate,,,,Defs,rg:None,rg:None,datetime,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,approvedDate,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Equipment,datetime,,receivedDate,,,,Defs,rg:None,rg:None,datetime,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,receivedDate,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Equipment,string,,addressLine1,Address 1 line of the address.,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,string,rg:None,rg:None,addressLine1,Address 1 line of the address.,rg:None,rg:[ { 'req' : 'id'} ]
Equipment,string,,addressLine2,Address 2 line of the address.,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,string,rg:None,rg:None,addressLine2,Address 2 line of the address.,rg:None,rg:[ { 'req' : 'id'} ]
Equipment,string,,addressLine3,Address 3 line of the address.,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,string,rg:None,rg:None,addressLine3,Address 3 line of the address.,rg:None,rg:[ { 'req' : 'id'} ]
Equipment,string,,addressLine4,Address 4 line of the address.,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,string,rg:None,rg:None,addressLine4,Address 4 line of the address.,rg:None,rg:[ { 'req' : 'id'} ]
Equipment,string,,city,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,string,rg:None,rg:None,city,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Equipment,string,,postal,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,string,rg:None,rg:None,postal,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Equipment,float,,blockNumber,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,float,rg:None,rg:None,rg:None,rg:None,rg:None,blockNumber,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Equipment,string,,comment,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,string,rg:None,rg:None,comment,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Equipment,float,,cycleHrsWrk,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,float,rg:None,rg:None,rg:None,rg:None,rg:None,cycleHrsWrk,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Equipment,string,,frozenOut,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,string,rg:None,rg:None,frozenOut,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Equipment,string,,lastDate,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,string,rg:None,rg:None,lastDate,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Equipment,string,,licence,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,string,rg:None,rg:None,licence,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Equipment,string,,make,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,string,rg:None,rg:None,make,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Equipment,string,,model,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,string,rg:None,rg:None,model,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Equipment,string,,year,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,string,rg:None,rg:None,year,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Equipment,string,,type,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,string,rg:None,rg:None,type,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Equipment,float,,numYears,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,float,rg:None,rg:None,rg:None,rg:None,rg:None,numYears,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Equipment,string,,operator,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,string,rg:None,rg:None,operator,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Equipment,float,,payRate,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,float,rg:None,rg:None,rg:None,rg:None,rg:None,payRate,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Equipment,string,,refuseRate,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,string,rg:None,rg:None,refuseRate,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Equipment,float,,seniority,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,float,rg:None,rg:None,rg:None,rg:None,rg:None,seniority,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Equipment,string,,serialNum,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,string,rg:None,rg:None,serialNum,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Equipment,string,,size,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,string,rg:None,rg:None,size,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Equipment,datetime,,toDate,,,,Defs,rg:None,rg:None,datetime,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,toDate,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Equipment,string,,working,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,string,rg:None,rg:None,working,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Equipment,string,,yearEndReg,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,string,rg:None,rg:None,yearEndReg,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Equipment,string,,prevRegArea,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,string,rg:None,rg:None,prevRegArea,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Equipment,float,,YTD,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,float,rg:None,rg:None,rg:None,rg:None,rg:None,YTD,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Equipment,float,,YTD1,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,float,rg:None,rg:None,rg:None,rg:None,rg:None,YTD1,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Equipment,float,,YTD2,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,float,rg:None,rg:None,rg:None,rg:None,rg:None,YTD2,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Equipment,float,,YTD3,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,float,rg:None,rg:None,rg:None,rg:None,rg:None,YTD3,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Equipment,string,,statusCd,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,string,rg:None,rg:None,statusCd,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Equipment,string,,archiveCd,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,string,rg:None,rg:None,archiveCd,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Equipment,string,,archiveReason,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,string,rg:None,rg:None,archiveReason,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
